before-iter:60.66,54.33,54.47,52.46,54.03,58.68,
iter=0: 59.02,87.8,91.87,89.52,94.12,83.2,83.46,85.48,81.82,82.79,81.82,82.64,82.79,89.52,84.68,81.6,81.82,81.6,76.86,73.17,84.55,78.33,73.77,77.05,82.4,74.19,77.05,81.45,72.8,74.59,81.67,83.47,76.8,79.67,81.15,83.61,86.99,83.47,86.07,74.4,79.17,76.38,
after-iter:83.87,91.67,66.67,59.2,58.06,61.6,68.85,
before-iter:58.2,73.77,78.05,56.1,59.02,60.66,54.4,55.37,
iter=1: 54.03,76.86,85.37,86.99,88.33,78.51,78.05,80.8,75.41,80.99,79.84,94.21,82.54,78.99,80.17,82.11,82.79,81.45,85.95,82.5,75.2,81.3,77.6,76.23,81.15,83.87,78.23,80.17,73.77,77.78,72.95,80.33,73.98,75.61,78.86,72.58,76.86,76.47,82.93,82.26,81.3,
after-iter:81.97,91.13,80.33,65.57,56.3,55.56,63.11,54.1,
before-iter:54.84,74.17,52.85,58.68,52.89,58.33,54.84,
iter=2: 53.6,67.74,85.12,89.17,92.68,96.67,88.8,78.05,85.48,85,84.13,82.64,84,82.4,81.3,81.97,75.41,81.15,87.5,80.49,80.83,79.51,82.64,72.95,80.49,77.24,78.05,85.12,91.8,81.45,75.21,82.11,76.23,77.24,79.67,80.65,85.6,79.51,74.8,82.11,72.13,75.41,75.61,
after-iter:80.65,90.24,55.28,64.52,58.4,61.79,57.72,
before-iter:67.2,82.5,68.8,58.2,61.6,53.33,65.08,64.52,
iter=3: 54.17,79.03,84.25,88.24,92.68,78.69,79.84,80.8,82.91,80,80.65,82.5,88.62,88.98,88.71,83.47,83.33,81.97,82.26,81.82,80.99,85.12,82.4,81.97,80.83,81.45,90.48,76.86,71.2,74.59,79.17,80.95,82.79,78.33,79.03,83.87,82.11,86.55,84.55,82.79,82.79,82.64,
after-iter:82.26,96.72,78.05,80.8,69.11,67.48,69.35,
before-iter:63.64,67.74,73.6,66.94,67.21,67.21,66.94,68.6,
iter=4: 69.35,87.6,83.87,98.33,90.83,88.71,86.99,85.25,86.29,84.55,82.26,84.17,83.74,82.26,82.64,82.79,79.17,82.54,80.17,94.21,84.8,80.83,80.33,83.06,82.93,81.82,83.33,94.12,82.79,84.55,82.93,82.11,81.3,83.19,85.37,83.33,82.64,86.89,81.15,81.3,81.6,78.51,78.33,
after-iter:78.86,89.92,81.15,66.4,65.32,69.6,69.67,79.67,
before-iter:67.77,81.1,69.42,67.21,68.29,70.4,66.12,
iter=5: 66.67,73.77,83.47,88.62,89.34,83.2,84.17,84.68,82.79,81.97,89.6,85,81.3,80.16,81.6,84.3,81.97,82.64,82.64,80,82.79,82.4,82.11,81.3,80.65,80.99,87.7,80.49,83.06,81.97,81.15,79.2,77.69,80.33,79.67,81.3,83.61,84.17,84.55,82.26,81.97,82.64,
after-iter:83.74,94.44,72.58,65.57,68.85,69.67,68.55,
before-iter:62.6,72.44,70.83,58.54,63.41,64.52,65.83,66.94,
iter=6: 69.92,95.04,83.47,90.91,91.8,87.1,85,84.68,88.43,81.82,82.26,84.3,80.33,83.2,78.69,80.33,78.86,81.97,88.89,82.35,80.33,81.3,81.82,83.47,81.82,85.25,83.87,89.92,86.29,81.82,84.68,83.06,81.82,81.82,82.64,92.8,80.49,81.82,83.87,81.97,82.93,83.47,82.64,
after-iter:81.45,91.8,69.84,68.29,70.25,70.73,68.03,
before-iter:78.23,74.19,80,66.39,67.2,65.85,60.98,66.12,
iter=7: 68.03,79.03,84.43,90.08,85.71,83.33,88.43,81.82,80.65,81.15,92.68,87.1,84.8,79.84,80.99,82.64,82.4,83.61,83.74,81.3,83.61,81.45,81.3,82.93,83.47,81.3,88.33,80,83.61,82.11,80.65,80.65,85.48,81.97,82.26,81.15,82.93,83.61,82.93,82.5,82.26,
after-iter:81.82,90.98,81.67,73.98,69.11,67.48,66.94,68.29,
before-iter:69.17,79.84,65.6,64.52,65.85,66.94,65.85,
iter=8: 71.43,85.12,85.37,87.7,90.24,93.39,86.18,83.47,85.6,85.37,83.87,84.87,83.74,81.6,85,84.13,81.15,80.17,80.49,89.17,81.75,81.82,82.79,82.64,81.75,85.83,82.4,82.93,95.87,83.74,83.74,84.43,82.26,81.97,82.79,83.87,94.35,81.15,85.48,80.83,83.74,81.45,81.45,
after-iter:81.15,90.24,70.16,68.33,67.5,67.2,68.33,
before-iter:78.51,73.33,83.06,71.43,66.12,65.29,66.94,68.25,
iter=9: 68.33,76.8,85.83,88.52,90.83,84,85.25,83.47,81.82,84.17,83.87,90.16,80.95,84.55,82.93,81.82,81.45,88.71,82.26,83.87,83.19,82.93,85,81.97,82.26,82.11,90.08,82.54,80.33,85.37,81.67,82.11,80.99,80.65,81.45,82.5,81.25,83.33,82.64,82.79,82.11,86.78,
after-iter:82.54,90,79.84,70.49,67.21,67.48,67.77,66.4,
before-iter:65.57,81.89,64.75,64.75,65.85,64.8,66.67,
iter=10: 68.03,89.34,86.89,85.25,91.74,94.21,84.92,85.25,90.91,95.08,100,100,99.17,94.31,89.92,92.62,87.5,88.62,90.83,83.05,88,67.77,69.17,71.9,71.67,70.73,66.67,75,68.91,82.11,75.63,70.83,75,76.67,74.8,62.6,67.5,62.81,64.17,61.48,58.68,
after-iter:66.39,81.82,42.74,48.33,51.24,51.22,46.22,
before-iter:50.41,55.37,64.46,49.59,50.82,62.1,48.36,47.93,
iter=11: 47.11,65.57,75.21,81.97,68.03,70.83,66.67,68.6,65.87,73.95,65.85,64.71,67.21,58.68,59.17,65.04,66.12,64.46,67.21,64.52,66.39,60.83,55.28,65.85,61.16,68.03,67.48,67.77,78.23,76.67,83.47,72.36,
after-iter:74.17,77.6,56.1,50.42,57.02,75.61,75.83,69.17,
before-iter:81.51,82.93,76.86,74.59,64.17,66.12,58.68,
iter=12: 60.66,75,81.45,92.37,90.16,80.17,85.25,80.67,88.43,83.61,75.81,75,76.03,76.86,82.79,76.67,74.8,81.51,80.99,84.55,81.67,82.79,91.53,88.62,82.79,82.5,81.15,77.87,82.64,76.86,73.17,78.69,90.98,89.6,81.51,79.51,83.05,81.3,91.8,79.67,82.79,75.61,
after-iter:75.21,84.55,79.67,60,55.28,53.78,55.74,52.1,
before-iter:54.92,75.41,57.85,56.91,54.92,60.33,63.03,
iter=13: 54.84,64.23,84.87,78.05,91.6,92.62,87.5,92.68,86.55,85.25,87.8,100,84.55,76.23,76.03,79.51,81.97,74.59,77.5,77.5,81.3,91.74,85.12,80.67,75.81,77.05,79.51,78.99,83.06,82.5,76.03,72.95,72.95,73.11,77.05,75.41,75,73.98,85.48,77.12,71.9,78.23,73.55,
after-iter:83.05,86.18,77.05,61.67,55.37,65.04,59.02,54.92,
before-iter:54.17,77.87,67.5,69.42,63.93,53.28,54.92,58.68,
iter=14: 55.37,78.33,76.42,86.78,89.34,85.95,80,82.93,86.78,77.05,75.41,79.34,83.74,85.48,85.83,83.06,80.83,80.33,75.83,77.42,77.31,71.07,73.98,79.51,75.61,76.27,84.92,86.78,82.11,81.67,82.64,76.42,81.51,82.64,80,82.26,80,81.3,81.67,82.64,81.3,83.9,
after-iter:75.41,90.76,82.11,65.85,66.39,56.1,60,60.66,
before-iter:57.72,71.67,76.86,55.28,64.17,56.56,55.46,60.32,
iter=15: 59.32,73.98,80.99,86.67,92.62,90.83,89.26,81.15,81.45,80.17,78.69,73.11,75.21,82.5,82.79,80.17,82.79,73.77,88.24,84.3,95.12,82.79,81.97,99.17,100,98.35,89.26,83.74,82.64,80.99,81.67,84.55,80.99,76.86,80.99,77.87,81.97,92.62,80.33,78.05,84.3,75.21,81.51,
after-iter:92.68,89.92,85,67.48,59.5,55,55.37,62.5,
before-iter:54.1,71.67,79.17,71.9,62.9,65,53.28,52.1,
iter=16: 60.83,75,74.8,87.6,92.56,86.18,86.67,82.11,88.43,82.79,86.55,88.52,81.15,76.03,73.55,74.59,79.34,78.86,73.11,74.8,80.17,80.33,79.84,77.31,83.61,77.69,83.06,82.64,92.62,86.78,83.74,87.5,82.93,82.5,78.69,82.79,76.67,76.03,78.86,80.17,76.03,73.95,76.03,
after-iter:88.52,85.95,54.55,53.78,53.28,54.47,61.86,
before-iter:53.66,60.33,77.05,54.92,60.17,56.45,55.37,57.85,
iter=17: 55.74,67.77,85.37,88.71,93.33,86.29,81.82,82.35,78.69,83.61,83.33,82.79,82.5,85.12,82.11,83.61,76.67,78.05,94.26,85.12,82.79,74.38,81.3,81.36,81.6,82.64,85.25,81.97,77.05,78.33,71.9,80,77.05,74.17,79.67,81.97,84.68,86.44,86.18,77.87,80.33,81.67,73.77,
after-iter:77.05,90.76,67.77,61.48,69.67,63.33,67.77,
before-iter:65.04,81.97,81.67,60.83,61.98,65.57,61.16,60.17,
iter=18: 65.29,74.17,83.47,83.33,92.8,93.33,83.47,80.83,87.8,85,83.47,83.61,83.47,92.68,77.24,79.66,77.24,75.63,81.1,80,76.23,76.86,82.11,78.33,80,91.67,85.37,82.11,82.64,81.82,77.24,83.05,79.67,76.23,80.17,83.06,76.86,78.99,82.5,77.42,82.35,82.93,89.17,100,
after-iter:100,100,95.08,78.86,69.75,79.17,76.86,77.24,
before-iter:68.6,72.5,83.87,73.55,71.9,73.77,61.34,66.67,
iter=19: 63.71,78.23,79.2,87.5,86.18,83.47,87.6,80.17,75,82.93,83.33,82.26,82.5,83.74,86.67,88.52,85.71,92.68,85.95,86.18,81.51,82.93,80.49,81.51,83.87,91.67,81.15,87.6,99.17,100,99.19,100,100,99.19,100,99.17,99.18,100,99.18,98.35,100,99.17,99.18,98.37,100,97.52,
after-iter:100,98.37,100,80.83,75.61,85.12,95.93,86.67,
before-iter:84.17,92.62,91.8,84.3,84.43,81.82,81.97,83.47,
iter=20: 81.82,96.69,100,97.52,100,100,98.37,100,99.18,100,99.17,100,98.37,98.35,98.36,100,97.58,100,98.35,99.18,100,97.52,98.37,98.33,100,98.36,97.48,98.39,100,98.37,100,97.58,99.17,100,98.36,100,100,100,98.36,100,95.93,100,97.54,99.17,97.5,98.41,98.32,97.54,99.17,100,99.17,99.19,99.18,100,
after-iter:98.35,100,99.17,95.12,82.79,84.3,82.79,84.17,
before-iter:85,94.31,92.68,83.47,84.43,85,83.47,93.33,
iter=21: 81.15,99.16,99.17,99.18,99.17,100,99.17,98.35,100,99.19,98.37,87.18,95.97,100,99.17,100,100,99.18,100,100,100,97.52,98.33,99.19,99.18,98.36,100,97.54,100,99.17,99.18,100,100,98.37,99.17,100,100,100,98.35,99.19,100,97.58,100,99.16,98.37,99.17,95.9,99.17,100,99.17,100,99.17,99.18,
after-iter:99.17,100,86.89,81.45,82.2,83.61,82.79,
before-iter:81.3,87.5,100,82.64,82.64,84.17,85.12,91.06,
iter=22: 82.5,89.17,100,99.18,100,99.18,99.19,99.16,98.36,99.2,100,98.33,100,99.18,99.19,100,100,100,100,100,96.72,100,98.37,99.17,100,99.17,100,100,98.39,100,100,99.19,98.36,99.17,99.18,98.31,100,98.33,100,100,98.37,100,100,100,100,100,99.17,100,98.36,98.37,100,99.17,99.18,
after-iter:98.36,100,95.93,85,85.25,84.03,88.43,99.19,
before-iter:99.16,100,94.31,85.25,92.5,81.82,85.12,84.43,
iter=23: 84.03,99.18,99.17,99.18,97.54,100,100,100,99.17,100,98.39,100,100,99.17,99.18,98.33,100,98.39,99.17,98.37,98.32,100,99.17,99.18,99.19,100,99.17,100,100,97.54,100,99.17,100,100,98.35,99.18,99.18,99.18,99.17,100,99.17,98.36,99.19,98.36,100,100,100,99.19,98.36,99.17,98.35,99.19,99.15,
after-iter:99.19,100,89.43,84.3,83.19,82.26,82.64,82.35,
before-iter:93.5,97.54,88.33,81.82,82.5,83.87,85.12,80.99,
iter=24: 85.83,99.16,99.2,100,100,100,99.19,100,99.17,100,100,99.19,99.18,98.36,99.19,97.54,99.17,98.37,100,99.19,100,100,97.52,100,99.18,100,97.5,99.17,97.54,99.17,98.35,98.39,100,98.36,100,100,100,98.33,100,98.36,96.72,98.37,99.18,97.56,100,100,98.32,99.19,95.87,99.17,98.35,100,
after-iter:96.75,100,94.21,83.74,85,85.37,84.17,91.87,
before-iter:82.64,96,88.89,84.55,81.82,81.51,84.87,80.65,
iter=25: 81.67,99.19,100,99.19,100,99.17,99.19,99.17,100,100,100,98.33,98.35,99.19,98.35,100,100,99.17,99.17,100,100,98.35,100,98.37,99.17,100,98.36,99.18,98.33,100,98.35,100,99.18,98.36,100,99.17,97.54,99.17,98.33,99.19,99.18,99.18,98.35,100,98.35,98.35,100,97.5,98.39,99.18,99.17,98.35,99.19,
after-iter:100,100,87.5,83.61,95.04,83.61,82.64,83.74,
before-iter:81.67,99.19,86.67,85.37,84.17,83.61,81.82,
iter=26: 82.26,86.99,100,100,100,100,99.17,99.17,100,100,99.19,100,100,98.35,98.35,98.37,100,100,97.6,99.17,100,100,100,99.17,98.37,100,99.19,100,99.17,100,99.17,97.56,100,99.17,98.35,99.18,99.17,99.17,100,100,98.37,99.17,98.36,100,99.17,98.39,100,99.17,97.56,100,98.33,99.18,98.33,
after-iter:98.37,100,90.16,85.12,85.83,81.82,78.69,81.97,
before-iter:82.5,99.17,84,80.83,84.03,82.4,81.82,
iter=27: 81.82,91.67,100,99.18,99.18,100,100,97.52,100,99.19,99.19,97.6,100,99.18,97.52,99.16,99.18,99.18,99.19,100,99.17,95.16,100,100,98.35,100,98.37,100,98.36,98.32,100,99.17,97.54,98.33,100,98.36,100,99.17,100,99.17,96.75,100,99.19,96.67,97.52,99.19,99.17,99.17,100,99.18,98.33,100,98.36,
after-iter:100,100,97.54,83.74,84.87,81.97,82.11,81.82,
before-iter:83.47,93.44,91.87,84.62,82.11,92.68,81.82,81.15,
